"ID","CORE_TEXT","EXT_TEXT","he wrote","Van Gogh wrote","complementary colours","The Potato Eaters","this torso of Venus","drew","standing torso of Venus","which he painted a number of times","He would use this technique more than once in his later work","Head of a Woman","Head of a Man","Head of a Woman 1","Head of a Woman 2","Head of a Woman 3","Torso of Venus","Horse","Torso of Venus 1","Male Torso","Kneeling Ecorche","Torso of Venus 2","Portrait of a Prostitute","Head of an Old Man","Head of a Woman 4","Plaster Cast of a Womans Torso","Plaster Cast of a Womans Torso 1","Torso of Venus 3","Woman Sewing","Letter from Vincent van Gogh to Theo van Gogh with sketches of Head of a Woman and Head of a Woman","Head of a Prostitute","1885","Nuenen","painting","1887","Paris","cityscape","portrait","still life","1890","animal art","drawing","1884","heads","Antwerp","1886","nude","1881","Brussels"
"s0041V1962","Entrance to a Quarry Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, June 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 60 cm x 74.5 cm, 80.3 cm x 93.7 cm","localhost F0744 JH1802 s0041V1962","Vincent intended his painting Entrance to a Quarry to be matt in colour without looking impressive. It was the first time since moving to France that he returned to a muted colour palette. In the Netherlands, he had always used sober colours. But since then, he had adopted the bright hues of the Impressionists. This painting turned out very differently from his Dutch works, however, because he used different pigments. While working on this painting, Van Gogh was not feeling well: he sensed an attack of his illness coming on. theless, he was pleased with the result: theres something sad in [it] thats healthy, and thats why it doesnt annoy me.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0042V1962","The Sheepshearer (after Millet) Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, September 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 43.6 cm x 29.5 cm, 57.8 cm x 44.0 cm","localhost F0634 JH1787 s0042V1962","Van Gogh painted this woman shearing sheep in a colour scale ranging from lilac to yellow. He said so in a letter he wrote to his brother Theo from the psychiatric clinic in Saint-Remy where he was an inmate. Vincent regained his self-confidence by copying works by other painters. He worked from black-and-white prints, copying the images fairly accurately but choosing the colours himself. He based this painting on a small wood engraving. It was part of Travaux des champs (Work in the Fields), a ten-part series of prints based on paintings by Jean-Francois Millet (1814-1875). Vincent wrote, not having any models for the moment it will ensure [] that I dont lose sight of the figure.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0043V1962","Peasant Woman Bruising Flax (after Millet) Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, September 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 40 cm x 26 cm, 55 cm x 41 cm","localhost F0697 JH1788 s0043V1962","Van Gogh painted this Peasant Woman Bruising Flax in a carefully balanced range of colours. He didnt work from a live model, but from a black-and-white print. It was part of a series called Travaux des champs (Work in the Fields), after paintings by Jean-Francois Millet (1814-1875). He copied all of the prints in the series. Van Gogh was pleased with the result. He wrote to his brother Theo: Youll be surprised what effect the Travaux des champs take on in colour, its a very intimate series of his.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0044V1962","Olive Grove Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, June 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 45.5 cm x 59.1 cm, 63.1 cm x 76.5 cm","localhost F0709 JH1760 s0044V1962","In Saint-Remy, Van Gogh needed to do little more than step outside the grounds of the clinic to find himself in the middle of an olive grove. He often sat there painting. This is an oil study he made. He was always looking for new points of view among the crooked tree trunks. In this painting, he has also focused on the contrast between the straight, diagonal lines with which he painted the foreground and the multi-directional, fanning streaks of paint in the trees.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0045V1962","Olive Grove Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, November-December 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 73 cm x 92 cm, 88.9 cm x 108.1 cm","localhost F0707 JH1857 s0045V1962","The olive groves around Saint-Remy were a rewarding subject for Van Gogh. He was fascinated by the ever-changing colour of the olive trees and tried to find a good way of painting their irregular growth. His solution was to use swirling brushstrokes, bold outlines around the trunks and stylized blue shadows. Van Gogh made his paintings of olive groves just after his friends Paul Gauguin and Emile Bernard had painted a number of religious scenes. They created those works from their imaginations. Van Gogh disagreed with that approach. He felt that reality should always be the starting point: My ambition is truly limited to a few clods of earth, some sprouting wheat. An olive grove, he wrote to Bernard.","http://www.vangoghletters.org/vg/letters/let822/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0046V1962","The Garden of Saint Pauls Hospital (Leaf-Fall) Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, October 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 73.8 cm x 60.8 cm, 91.5 cm x 78.5 cm","localhost F0651 JH1844 s0046V1962","Van Gogh drew a great deal of inspiration from the large garden around the hospital where hed had himself admitted in 1889. In the autumn he made this painting, which he called a leaf-fall. The seasonal atmosphere is suggested by the colours, the lone walker and the leaves blown by the wind. Van Gogh chose a high viewpoint for the painting, so the outlines of the trunks are cut off by the upper and lower edges. He had learned this compositional technique from Japanese prints and the work of his friends, the artists Emile Bernard and Paul Gauguin.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0048V1962","Gauguins Chair Vincent van Gogh (1853 - 1890), Arles, November 1888 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 90.5 cm x 72.7 cm, 110.0 cm x 91.8 cm","localhost F0499 JH1636 s0048V1962","This painting of Paul Gauguins chair is a portrait of Van Goghs friend and fellow artist. The modern novels and burning candle on the green seat cushion symbolize the character of the absent painter. Using mainly red and green hues, Van Gogh tried to suggest the mood of night. He also painted a pendant of this work with a daytime atmosphere: his own simple peasant chair in bright yellow and blue. The two paintings represent the different personalities of the two artists, who quarrelled and went their separate ways soon afterwards. Van Gogh skilfully captured the bluish shadows and reflected light on the polished wood of the chair. These were created by the gas lighting (a gas lamp can be seen in the background).","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0051V1962","Undergrowth Vincent van Gogh (1853 - 1890), Saint-Remy-de-Provence, July 1889 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 73.0 cm x 92.3 cm, 92.2 cm x 111.6 cm","localhost F0746 JH1762 s0051V1962","This Van Gogh painting shows a corner of the garden at the asylum in Saint-Remy. I also have a new one with ivy on the go, he wrote to his brother Theo. He had made paintings of the same subject near Paris two years earlier. At first glance, all you can see here are some tree trunks overgrown with ivy and patches of light on the ground. But if you zoom into this painting, you can hardly see anything but a sea of loose brushstrokes. These strokes are mostly short and surprisingly varied in colour. The only longer lines are the outlines of the trees.","http://vangoghletters.org/vg/letters/let790/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0052V1962","Still Life with Brass Cauldron and Jug Vincent van Gogh (1853 - 1890), Nuenen, September 1885 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 65.5 cm x 80.5 cm, 88 cm x 103 cm","localhost F0051 JH0925 s0052V1962",,"localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0053V1962","Cottages Vincent van Gogh (1853 - 1890), Nieuw Amsterdam, September-November 1883 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 35.4 cm x 55.7 cm, 51.4 cm x 71.8 cm","localhost F0017 JH0395 s0053V1962","Van Gogh painted Cottages in 1883, while staying in the village of Nieuw-Amsterdam in Drenthe. He wrote enthusiastically to his brother how inexpressibly beautiful it was there. But, he added, you cant see that yet in my studies at all. He still had to learn a lot more. In this picture, he is practising how to convey the contrast between a dark foreground and a light sky. The paint on this canvas contains a lot of sand. It must have blown onto it while Van Gogh was working outdoors. If you zoom in, you can see the bright grains against the dark paint.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0054V1962","Bobbin Winder Vincent van Gogh (1853 - 1890), Nuenen, March-April 1885 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 34.0 cm x 44.3 cm, 46.5 cm x 56 cm","localhost F0175 JH0497 s0054V1962","Anton Kerssemakers, an amateur painter who took lessons from Van Gogh, recalled that Vincents studio was full of objects including all kinds of mosses and plants brought along from the moor, some stuffed birds, a spool, a spinning wheel . . . The spool might have been this bobbin winder a device used to wind spun thread onto a bobbin or spool. Weavers in Van Goghs time were already working with mechanically spun thread, but the thread was still spooled manually.. . The execution of the painting is deft, smooth and thin so thin in places that the ground layer and transparent green base colour are still visible. Van Gogh was fascinated by lighting effects, and there is a powerful element of backlighting in this painting. He uses touches of light grey to represent the fall of light on the bobbin winder, while the white and yellow highlights intensify the contrasts between light and shade.. . The objects were probably lit from three sides: not only by the window on the left, but also from above and by a lamp in front of the basket to the left. The shadows of the bobbin winders legs do not, however, tally exactly with these light sources: all three fall at different angles.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0055V1962","By the Seine Vincent van Gogh (1853 - 1890), Paris, May-July 1887 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 49.4 cm x 65.3 cm, 69 cm x 84.8 cm","localhost F0299 JH1254 s0055V1962","During his time in Paris, Van Gogh often carried his field easel and painting materials around with him. He was always in search of interesting subjects. Here he found a spot by the river Seine. Van Gogh first sketched the river scene in pencil on the canvas. The pencil lines are still clearly visible in some places; he didnt paint over all of them. They are especially clear along the horizon. Look at the straight lines directly above the blue of the river. The painting is unfinished. He may have intended to complete the sketch in his studio, but he never got around to it.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0056V1962","Torso of Venus Vincent van Gogh (1853 - 1890), Paris, June 1886 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 46.0 cm x 38.0 cm, 55.1 cm x 46.5 cm","localhost F0216a JH1054 s0056V1962","Van Gogh was thorough in everything he did. So when he decided to practise painting plaster models of classical sculptures, he immediately produced a whole series. He painted this torso of Venus five times, in each case from a different angle. This time he has turned the model to face away from him. He has used a lot of paint and followed the curves of the body with his brush.","localhost","localhost","localhost","localhost","https://www.vangoghmuseum.nl/en/collection/s0199V1962","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0089V1962","https://vangoghmuseum.nl/en/collection/s0202V1962","https://vangoghmuseum.nl/en/collection/s0101V1962","https://vangoghmuseum.nl/en/collection/s0103V1962","https://vangoghmuseum.nl/en/collection/s0102V1962","https://vangoghmuseum.nl/en/collection/s0201V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","https://vangoghmuseum.nl/en/collection?Date=1886","https://vangoghmuseum.nl/en/collection?Genre=nude","localhost","localhost",,
"s0057V1962","View from Theos Apartment Vincent van Gogh (1853 - 1890), Paris, March-April 1887 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 45.9 cm x 38.1 cm, 62.5 cm x 54.4 cm","localhost F0341 JH1242 s0057V1962","Van Gogh lived with his brother Theo after arriving in Paris. In June 1886, they moved into an apartment on Rue Lepic. Theo described its fine views of the city in a letter. He concluded, The different effects produced by atmospheric variations make it a subject for I dont know how many paintings. Van Gogh adopted an unusual approach to this view. On part of the canvas, he used the stippling technique he had learned from the Pointillists. He painted other parts loosely and freely. He probably felt that laying down the little dots was too rigid and time-consuming. It was out of keeping with his spontaneous way of painting.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0058V1962","Woman with a Mourning Shawl Vincent van Gogh (1853 - 1890), Nuenen, March-May 1885 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 45.5 cm x 33.0 cm, 60 cm x 48 cm","localhost F0161 JH0788 s0058V1962","Here, Van Gogh was practising painting strong contrasts between light and dark, using only a few colours ochre for hands and face and green for background and clothing. The woman is wearing a falie or mourning shawl. If you look carefully, you can just spot a white bonnet peeping out from under it. In the spring and summer of 1885, Van Gogh drew and painted other women wearing shawls over their heads in this way. They were worn at funerals or when in mourning.","localhost","localhost","localhost","localhost","localhost","https://www.vangoghmuseum.nl/en/collection/d0024V1962","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","localhost","localhost","localhost","localhost",,
"s0059V1962","Head of a Prostitute Vincent van Gogh (1853 - 1890), Antwerp, December 1885 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 35.2 cm x 24.4 cm, 52.9 cm x 41.9 cm","localhost F0206 JH0972 s0059V1962","By choosing this contemporary subject, Van Gogh presented himself as a modern painter of city life. That included the margins of society and the prostitutes who lived there. This woman may not look like a prostitute at first glance. But in the nineteenth century, loose hair was a sign of loose morals. Van Gogh used rough brushstrokes to paint her face. He succeeded in giving her features volume and life.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0143V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","localhost","localhost","localhost","localhost",,
"s0060V1962r","Still Life with Bottles and Earthenware Vincent van Gogh (1853 - 1890), Nuenen, November 1884-April 1885 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 31.5 cm x 41.8 cm, 38.0 cm x 48.4 cm","localhost F0061r JH0533 s0060V1962r","Not many people know that, for a short time, Van Gogh gave painting lessons to amateur artists. He wrote to his brother Theo, I now have 3 people in Eindhoven who want to learn to paint and whom Im teaching to paint still lifes. Van Gogh painted this picture while his pupils were busy with similar still lifes. Van Gogh felt that still life painting was the best way to start as he had done when he began his painting career three years before.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1884","localhost","localhost","localhost","localhost","localhost",,
"s0060V1962v","Self-Portrait with Straw Hat Vincent van Gogh (1853 - 1890), Paris, July-August 1887 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 41.8 cm x 31.5 cm, 48.4 cm x 38.0 cm","localhost F0061v JH1302 s0060V1962v","Its lucky for us that Van Gogh was so often unable to afford a model. To practice figure painting, he had to resort to making self-portraits. So we get an impression of how he saw himself. Only one portrait photo of him has survived and neither shows him as an adult. He painted this self-portrait when he was living in Paris. Unable to pay for new canvas, he used the back of an earlier still life.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0061V1962","Portrait of an Old Man Vincent van Gogh (1853 - 1890), Antwerp, December 1885 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 44.4 cm x 33.7 cm, 58.6 cm x 48.5 cm","localhost F0205 JH0971 s0061V1962","Van Gogh painted this man in Antwerp (BE), where he lived from late November 1885 to late February 1886. He has impressive features, as Van Gogh wrote to his brother Theo: I have an appointment for tomorrow with a splendid old man will he come??? Van Gogh had a hard time finding suitable models. Besides, models were expensive. But this man did show up to pose for him. Van Gogh thought that the mans full beard made him look like the author Victor Hugo. Using rough but well-placed brushstrokes, he made a compelling portrait.","localhost","http://vangoghletters.org/vg/letters/let546/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/d0041V1971","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","localhost","localhost","localhost","localhost",,
"s0062V1962","Head of a Woman Vincent van Gogh (1853 - 1890), Nuenen, March 1885 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 42.2 cm x 34.8 cm, 58.5 cm x 51 cm","localhost F0080a JH0682 s0062V1962",,"localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","https://vangoghmuseum.nl/en/collection/s0072V1962","https://vangoghmuseum.nl/en/collection/s0069V1962","https://vangoghmuseum.nl/en/collection/s0139V1962","https://vangoghmuseum.nl/en/collection/s0006V1962","https://vangoghmuseum.nl/en/collection/s0084V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=study","localhost","localhost","localhost","localhost",,
"s0063V1962","Basket of Hyacinth Bulbs Vincent van Gogh (1853 - 1890), Paris, January-February 1887 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 31.2 cm x 48.3 cm, 46 cm x 62.2 cm","localhost F0336 JH1227 s0063V1962",,"localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","https://vangoghmuseum.nl/en/collection?Genre=still life","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
"s0064V1962","The Hill of Montmartre with Stone Quarry Vincent van Gogh (1853 - 1890), Paris, June-July 1886 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 32.0 cm x 41.0 cm, 46.3 cm x 55.5 cm","localhost F0229 JH1176 s0064V1962","Van Gogh didnt have to walk far to reach this quarry. It was just around the corner from the flat where he lived with his brother Theo. Vincent painted a number of pictures at this spot. The quarry in the rue Caulaincourt provided stone for the multitude of construction projects in Paris. It was at the bottom of the hill of Montmartre, on the side not yet built-up. Nowadays, the street is in the middle of a residential area.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","localhost","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=cityscape","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1886","localhost","localhost","localhost",,
"s0065V1962","Self-Portrait Vincent van Gogh (1853 - 1890), Paris, March-June 1887 Credits (obliged to state): Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation) 41 cm x 33 cm, 54 cm x 46.2 cm","localhost F0356 JH1248 s0065V1962","Around the world, people recognise this man with a red beard and an earnest look in his eyes. Vincent van Gogh painted about 35 self-portraits in total, most of them in Paris. For him, this was a way of practising portrait painting. His intention was not to portray himself as realistically as possible. He used the Neo-Impressionist style here, with short, rough brushstrokes. These alternate with longer strokes, such as the orange in his beard. The background was originally purple (a mix of red and blue), but the red pigment has discoloured and has become almost completely transparent.","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","Vincent van Gogh","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Artist=Vincent van Gogh","https://vangoghmuseum.nl/en/collection?Date=1887","https://vangoghmuseum.nl/en/collection?Place=Paris","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost",,
